Group,Subj,Time.block,Freezing,Erratic
nP,nP1,1-5,"2.882",10
nP,nP1,6-15,"9.821",3
nP,nP2,1-5,0,0
nP,nP2,6-15,0,0
nP,nP3,1-5,0,79
nP,nP3,6-15,0,8
nP,nP4,1-5,0,0
nP,nP4,6-15,0,0
nP,nP5,1-5,"19.22",0
nP,nP5,6-15,"3.224",0
nP,nP6,1-5,"0.397",50
nP,nP6,6-15,"58.28",16
nP,nP7,1-5,0,7
nP,nP7,6-15,0,8
nP,nP8,1-5,0,12
nP,nP8,6-15,0,0
nP,nP9,1-5,"11.036",6
nP,nP9,6-15,"19.356",5
nP,nP10,1-5,"5.5382",9
nP,nP10,6-15,0,6
nP,nP11,1-5,0,30
nP,nP11,6-15,"16.326",25
nP,nP12,1-5,"11.243",1
nP,nP12,6-15,"39.651",4
nP,nP13,1-5,0,5
nP,nP13,6-15,0,2
nP,nP14,1-5,"11.481",22
nP,nP14,6-15,0,0
nP,nP15,1-5,0,0
nP,nP15,6-15,0,0
nP,nP16,1-5,"6.05",0
nP,nP16,6-15,"11.663",51
P,P1,1-5,"28.556",4
P,P1,6-15,"236.017",25
P,P2,1-5,0,4
P,P2,6-15,0,40
P,P3,1-5,0,0
P,P3,6-15,0,79
P,P4,1-5,0,0
P,P4,6-15,0,13
P,P5,1-5,"14.431",86
P,P5,6-15,"168.216",11
P,P6,1-5,0,0
P,P6,6-15,0,8
P,P7,1-5,"3.019",23
P,P7,6-15,"11.926",63
P,P8,1-5,0,0
P,P8,6-15,0,9
P,P9,1-5,0,17
P,P9,6-15,"33.503",68
P,P10,1-5,"7.555",0
P,P10,6-15,"54.453",63
P,P11,1-5,0,11
P,P11,6-15,"50.799",48
P,P12,1-5,0,37
P,P12,6-15,"39.186",70
P,P13,1-5,"5.213",40
P,P13,6-15,"51.043",60
P,P14,1-5,"106.248",4
P,P14,6-15,"28.022",44
P,P15,1-5,"5.606",0
P,P15,6-15,"14.063",75
