Subj,Group,Refuge,Avoidance,Inspection,Freezing(1-5),Freezing(5-15),Erratic(1-5),Erratic(5-15)
nP1,nP,-8.8244375,5.68568482114082,-4.03675850330639,2.882,9.821,10,37
nP2,nP,4.9109875910971,6.66515530705019,-13.1623016536084,0,0,0,0
nP3,nP,656.555822006473,11.9418670341027,18.739687140757,0,0,79,88
nP4,nP,24.8580737881909,38.0886522840599,-15.3102828353707,0,0,0,0
nP5,nP,100,26.727071791362,-17.680124428998,19.22,3.224,0,0
nP6,nP,0,-23.158304309026,7.1496280419162,0.397,58.28,50,16
nP7,nP,2.91434195667798,-5.64763925400868,4.06543237014713,0,0,7,28
nP8,nP,342.580242168675,-0.405778238556227,-9.45727916363637,0,0,12,0
nP9,nP,0.864838,8.790808,1.1972517,11.036,19.356,69,59
nP10,nP,11.1509853,8.059324,1.5041495,5.5382,0,96,61
nP11,nP,17.1033145,5.833553,1.232785,0,16.236,30,25
nP12,nP,-9.1607675,7.560578,-1.6383181,11.243,39.651,16,43
nP13,nP,-0.1616706,8.553668,-1.5981261,0,0,51,26
nP14,nP,25.8720279,8.458011,1.7775746,11.481,0,22,0
nP15,nP,-2.5512065,8.1546748,1.5459382,0,0,0,0
nP16,nP,36.2653969,6.99792,-0.8864588,6.05,11.663,0,51
P1,P,497.483842692532,-3.70141338946755,50.9618716331462,28.556,236.017,4,253
P2,P,39.5876587097749,-5.17177188909229,-14.3950643346172,0,0,0,0
P3,P,114.215133998726,31.7045113674374,-26.6156203550205,0,0,0,79
P4,P,51.0108235097456,1.00103846341616,-11.6980909277574,0,0,0,13
P5,P,100,-9.22035724817018,20.3648500529602,14.431,168.216,86,11
P6,P,807.332504818536,11.0373948583931,39.3408396143734,0,0,0,8
P7,P,108.863608087092,55.7906997346204,35.4324398046669,3.019,11.926,23,63
P8,P,-45.3495386585812,-0.770342292513749,10.7088777829418,0,0,0,9
P9,P,20.6037,-10.34161,40.65919659,0,33.503,17,68
P10,P,183.6254,12.35201,37.35615564,7.555,54.453,0,63
P11,P,181.1737,58.06123,0.09090608,0,50.799,11,48
P12,P,206.2686,32.97167,52.37481436,0,39.186,37,70
P13,P,25.1225,26.3165,35.35366212,5.213,51.043,40,60
P14,P,211.9043,-11.11157,8.07086365,106.248,28.022,4,44
P15,P,17.5748,40.68547,9.96164148,5.606,14.063,0,75
