Group,Subj,Time.block,Freezing,Erratic
DM,A,1-5min,0,3
DM,B,1-5min,0,0
DM,C,1-5min,0,13
DM,D,1-5min,0,24
DM,E,1-5min,"1,25",0
DM,F,1-5min,"1,89",1
DM,G,1-5min,0,0
DM,H,1-5min,0,0
DM,I,1-5min,"3,79",0
DM,J,1-5min,0,3
DM,K,1-5min,0,0
DM,L,1-5min,"0,54",12
DM,M,1-5min,"8,06",0
DM,N,1-5min,"6,45",0
DM,O,1-5min,0,15
DM,P,1-5min,"0,46",0
DM,A,6-15min,0,68
DM,B,6-15min,"70,77",0
DM,C,6-15min,"57,92",84
DM,D,6-15min,0,5
DM,E,6-15min,"1,126",5
DM,F,6-15min,"41,54",0
DM,G,6-15min,"4,41",4
DM,H,6-15min,0,17
DM,I,6-15min,"62,99",56
DM,J,6-15min,"66,41",34
DM,K,6-15min,0,10
DM,L,6-15min,"28,86",99
DM,M,6-15min,"64,69",84
DM,N,6-15min,"47,57",1
DM,O,6-15min,"22,37",34
DM,P,6-15min,"60,88",14
CM,1,1-5min,"5,63",0
CM,2,1-5min,0,8
CM,3,1-5min,"2,08",3
CM,4,1-5min,"4,41",33
CM,5,1-5min,0,2
CM,6,1-5min,0,23
CM,7,1-5min,0,89
CM,8,1-5min,"11,39",0
CM,9,1-5min,0,0
CM,10,1-5min,0,0
CM,11,1-5min,0,0
CM,12,1-5min,0,0
CM,13,1-5min,"14,09",0
CM,14,1-5min,"16,34",6
CM,15,1-5min,0,0
CM,16,1-5min,"28,72",0
CM,1,6-15min,0,61
CM,2,6-15min,"75,1",69
CM,3,6-15min,"39,83",0
CM,4,6-15min,"5,33",70
CM,5,6-15min,0,39
CM,6,6-15min,"54,62",23
CM,7,6-15min,"54,57",0
CM,8,6-15min,0,0
CM,9,6-15min,0,17
CM,10,6-15min,"75,08",39
CM,11,6-15min,0,9
CM,12,6-15min,"66,48",0
CM,13,6-15min,0,0
CM,14,6-15min,0,0
CM,15,6-15min,0,12
CM,16,6-15min,0,15
