Group,Subject,Inspection,Avoidance,Refuge
Defecting mirror,1,-19.6725048651654,-3.77403375220395,708.574515705796
Defecting mirror,2,-7.8005,18.1656,35.9721
Defecting mirror,3,-11.8265701950513,22.5219026939683,159.192667902038
Defecting mirror,4,9.56601095961519,-37.3852723197487,
Defecting mirror,5,-11.2308,22.2176,28.5637
Defecting mirror,6,11.8943,20.8239,3.5915
Defecting mirror,7,-29.5857570874774,99.0832664794759,420.632360058074
Defecting mirror,8,-25.6857379631757,65.4698373778531,17656.0655737705
Defecting mirror,9,-2.8553,24.1745,20.3853
Defecting mirror,10,6.7547,16.8757,28.0081
Defecting mirror,11,8.17342635328758,-22.3445830217354,260.572483841182
Defecting mirror,12,15.9525,16.7017,3.1775
Defecting mirror,13,20.6783,9.9034,1.7199
Defecting mirror,14,12.3331,20.3048,-8.4764
Defecting mirror,15,-2.4712,17.2782,15.9828
Defecting mirror,16,1.8931,15.2327,60.9647
Cooperating mirror,1,19.8071,-52.9976,2.3579
Cooperating mirror,2,-1.0566800184325,33.9784577093078,667.067908244379
Cooperating mirror,3,-9.0911,-105.8615,34.8889
Cooperating mirror,4,14.823,-30.1977,-5.0805
Cooperating mirror,5,25.1909494319751,183.655981324375,873.929236499069
Cooperating mirror,6,25.4110634586029,-50.8638883920587,-100
Cooperating mirror,7,7.8115,84.3159,-39.2699
Cooperating mirror,8,14.3684,17.2761,5.3263
Cooperating mirror,9,5.92547518420996,-19.9770378874857,
Cooperating mirror,10,-8.372191400495,9.51555612616081,2015.88032220944
Cooperating mirror,11,21.6205,30.4959,11.9281
Cooperating mirror,12,-1.2785664704708,28.0168044511522,316.136363636364
Cooperating mirror,13,3.6007,-42.1607,36.5445
Cooperating mirror,14,41.7719,-23.4433,-8.3769
Cooperating mirror,15,19.4253,-43.9136,-18.1224
